name;filename;weight;material;url;price
Piselli;piselli.jpeg;14.8;Silver;https://www.ottiliastudios.com/shop/p/piselli;140.00
Ailes;ailes.jpeg;15.5;Silver;https://www.ottiliastudios.com/shop/p/ailes;140.00
Connected long;connected.jpeg;15.0;Silver;https://www.ottiliastudios.com/shop/p/connected-long;130.00
BUM;BUM.jpeg;28.4;Silver;https://www.ottiliastudios.com/shop/p/bum;210.00
Étincelle;Etincelle.jpeg;11.52;Silver;https://www.ottiliastudios.com/shop/p/tincelle;140.00
Schlingel;Schlingel.jpeg;11.24;Silver;https://www.ottiliastudios.com/shop/p/07jh42vufq4nfc8wrjjojklgdp9sg9;175.00
Butter;Butter.jpeg;24.16;Silver;https://www.ottiliastudios.com/shop/p/butter;170.00
Éte;Éte.jpeg;5.7;Silver;https://www.ottiliastudios.com/shop/p/ete;110.00
Aleida;Aleida.jpeg;9.57;Silver;https://www.ottiliastudios.com/shop/p/aleida;140.00
Nummer 8;Nummer 8.jpeg;9.0;Silver;https://www.ottiliastudios.com/shop/p/nummer-8;135.00
Schaum;Schaum.jpeg;23.55;Silver;https://www.ottiliastudios.com/shop/p/schaum;190.00
Pflaster;Pflaster.jpeg;11.32;Silver;https://www.ottiliastudios.com/shop/p/pflaster;135.00
Funke Ring;Funke Ring.jpeg;9.18;Silver;https://www.ottiliastudios.com/shop/p/funke-ring;105.00
Zisch;Zisch.jpeg;8.4;Silver;https://www.ottiliastudios.com/shop/p/simultan;85.00
Liée;Liée.jpeg;13.26;Silver;https://www.ottiliastudios.com/shop/p/gamon;135.00
Funke No 8;Funke No.8.jpeg;4.18;Silver;https://www.ottiliastudios.com/shop/p/funke-no8-1;75.00
Funke No 5;Funke No.5.jpeg;4.18;Silver;https://www.ottiliastudios.com/shop/p/funke-no5;75.00
Cœur;Cœur.jpeg;3.0;Silver;https://www.ottiliastudios.com/shop/p/cur;75.00
Kissen;Kissen.jpeg;4.56;Silver;https://www.ottiliastudios.com/shop/p/kissen;140.00
Melt;Melt.jpeg;7.48;Silver;https://www.ottiliastudios.com/shop/p/melt-fidget;85.00
Fidget;Fidet.jpeg;3.01;Silver;https://www.ottiliastudios.com/shop/p/melt-fidget;60.00
